#TauBoo DI data
# ObsDate[JD]	PositionAngle[deg]    PositionAngleError[deg]  SeparationAngle["]   SeparationAngleError["]#2396557.5	347.8	4.0122666667	10.26	1.0030666667
2403065.5	348.7	3.5370666667	9.03	0.8842666667
2405359.5	350.8	3.3696			8.91	0.8424
2407064.5	351.9	3.2450666667	8.71	0.8112666667
2408219.5	354.3	3.1608			8.9		0.7902
2408927.5	352.4	3.1090666667	8.89	0.7772666667
2411846.5	353.6	2.896			8.72	0.724
2413509.5	356		2.7746666667	8.41	0.6936666667
2414351.5	355.1	2.7130666667	8.45	0.6782666667
2414465.5	354.8	2.7048			8.54	0.6762
2415404.5	355.8	2.6362666667	8.66	0.6590666667
2419263.5	356.8	2.3544			7.28	0.5886
2423443.5	359.1	2.0493333333	7.35	0.5123333333
2424260.5	359.5	1.9896			6.96	0.4974
2425728.5	1.7		1.8824			7.06	0.4706
2429753.5	3.5		1.5885333333	6.4		0.3971333333
2431535.5	5.1		1.4584			6.15	0.3646
2431959.5	5.1		1.4274666667	6.09	0.3568666667
2434136.5	6		1.2685333333	5.87	0.3171333333
2436256.5	6.8		1.1138666667	5.4		0.2784666667
2437227.5	7.8		1.0429333333	5.32	0.2607333333
2438866.5	11.4	0.9232			5.14	0.2308
2440132.5	8		0.83088			4.94	0.20772
2440707.5	13.5	0.7888			5.17	0.1972
2448337.5	20.65	1.0 			3.401	0.1
2451143.5	30.85	0.4				2.865	0.0313751472
2451711.5	33.2	1				2.82	0.04
2451945.5	31.3	1				2.71	0.02
2454579.5	46.26	0.42			2.181	0.011
2455589.5	52.65	0.16			1.9421	0.0021
2455704.5	53.68	0.07			1.9324	0.001
