#Fake data using Tim's model DI data
# ObsDate[JD]	PositionAngle[deg]    PositionAngleError[deg]  SeparationAngle["]   SeparationAngleError["]#
2457000 128.5021295 22.23181343 0.307007951 0.03259034563
2457091.329 172.7440638 22.23181343 0.3280073555 0.03259034563
2457182.658 219.2009181 22.23181343 0.4884449613 0.03259034563
2457273.986 272.7123501 22.23181343 0.5398433175 0.03259034563
2457365.315 251.3002973 22.23181343 0.6898325218 0.03259034563
2457456.644 264.9945442 22.23181343 0.7685991031 0.03259034563
2457547.973 247.3999929 22.23181343 0.7979599024 0.03259034563
2457639.301 276.0550929 22.23181343 0.9056777642 0.03259034563
2457730.63 290.1320778 22.23181343 0.8990926629 0.03259034563
2457821.959 310.1329344 22.23181343 0.8798820728 0.03259034563
2457913.288 292.262855 22.23181343 0.872192273 0.03259034563
2458004.616 296.5806515 22.23181343 0.8738610555 0.03259034563
2458095.945 314.4212342 22.23181343 0.8212691339 0.03259034563
2458187.274 304.2724018 22.23181343 0.7580896579 0.03259034563
2458278.603 336.2651618 22.23181343 0.7305934766 0.03259034563
2458369.931 325.0523385 22.23181343 0.6036291888 0.03259034563
2458461.26 352.3704743 22.23181343 0.5363703806 0.03259034563
2458552.589 10.80347707 22.23181343 0.4913070201 0.03259034563
2458643.918 52.56866402 22.23181343 0.4616344308 0.03259034563
2458735.247 73.94781553 22.23181343 0.3901108361 0.03259034563
2458826.575 100.1027315 22.23181343 0.3456597615 0.03259034563
2458917.904 182.6230659 22.23181343 0.2935531832 0.03259034563







