#Fake data using Tim's model DI data
# ObsDate[JD]   PositionAngle[deg]    PositionAngleError[deg]  SeparationAngle["]   SeparationAngleError["]#
2457000 142.522807 14.70323135 0.01861246992 0.0009306234958
2457004.011 161.2751142 14.70323135 0.01862264888 0.0009306234958
2457008.022 180.962603 14.70323135 0.02009747691 0.0009306234958
2457012.033 197.5853322 14.70323135 0.01788499251 0.0009306234958
2457016.045 225.0740054 14.70323135 0.01961547293 0.0009306234958
2457020.056 236.4644785 14.70323135 0.01783351935 0.0009306234958
2457024.067 258.4010118 14.70323135 0.0193665084 0.0009306234958
2457028.078 278.3715401 14.70323135 0.01800983896 0.0009306234958
2457032.089 298.1323098 14.70323135 0.01871354438 0.0009306234958
2457036.1 317.4896251 14.70323135 0.01926918222 0.0009306234958
2457040.112 343.8669793 14.70323135 0.01826851053 0.0009306234958
2457044.123 356.4387083 14.70323135 0.01914001834 0.0009306234958
2457048.134 17.65975726 14.70323135 0.01960297732 0.0009306234958
2457052.145 40.28417154 14.70323135 0.01838053176 0.0009306234958
2457056.156 58.96722533 14.70323135 0.0181679131 0.0009306234958
2457060.167 74.7087855 14.70323135 0.01823101999 0.0009306234958
2457064.179 98.46971878 14.70323135 0.01723788465 0.0009306234958
2457068.19 119.2214707 14.70323135 0.01902092935 0.0009306234958
2457072.201 135.8211524 14.70323135 0.01776789954 0.0009306234958
2457076.212 152.5329471 14.70323135 0.01920631686 0.0009306234958
2457080.223 172.9791924 14.70323135 0.01796775573 0.0009306234958






