#HR 8799 planet b DI data
# ObsDate[JD]	PositionAngle[deg]    PositionAngleError[deg]  SeparationAngle["]   SeparationAngleError["]
2451115.5	54.700	0.400	1.738	0.018
2452474.5	58.179	0.620	1.743	0.029
2453199.5	59.000	0.230	1.716	0.007
2453200.5	58.996	0.167	1.716	0.007
2453566.5	60.222	0.166	1.724	0.007
2454314.5	61.832	0.100	1.726	0.004
2454398.5	61.969	0.167	1.713	0.007
2454658.5	62.379	0.133	1.723	0.005
2454690.5	62.320	0.066	1.724	0.003
2454695.5	62.350	0.090	1.724	0.003
2454727.5	62.424	0.100	1.724	0.004
2454791.5	62.544	0.664	1.726	0.027
2455058.5	62.930	0.332	1.725	0.013
2455086.5	63.197	0.998	1.723	0.040
2455111.0	62.005	0.659	1.738	0.023
2455112.5	62.929	0.233	1.720	0.009
2455137.0	62.549	0.627	1.735	0.026
2455499.5	64.181	0.167	1.717	0.006
2455850.5	65.069	0.362	1.741	0.015
2455874.5	64.876	0.369	1.708	0.015

