#HR 8799 planet b DI data
# ObsDate[JD]	PositionAngle[deg]    PositionAngleError[deg]  SeparationAngle["]   SeparationAngleError["]
2451115.5	166.000	3.000	0.549	0.028
2453566.5	188.560	0.980	0.585	0.011
2454314.5	196.099	0.748	0.613	0.010
2454690.5	199.666	0.371	0.618	0.005
2454727.5	200.362	0.185	0.621	0.003
2455112.5	202.356	0.633	0.634	0.009
2455137.0	202.479	1.278	0.628	0.018
2455398.5	204.882	0.538	0.639	0.008
2455499.5	206.525	0.452	0.634	0.009
2455499.5	211.717	0.527	0.652	0.008
2456586.5	215.092	0.707	0.658	0.012




