#HR 8799 planet b DI data
# ObsDate[JD]	PositionAngle[deg]    PositionAngleError[deg]  SeparationAngle["]   SeparationAngleError["]
2451115.5	300.000	0.800	0.966	0.022
2453566.5	311.464	0.301	0.951	0.007
2454314.5	315.085	0.301	0.952	0.007
2454791.5	316.946	1.196	0.958	0.028
2455086.5	317.710	1.824	0.942	0.042
2455111.0	317.415	2.438	0.940	0.057
2455112.5	318.791	0.421	0.952	0.010
2455137.0	318.814	0.779	0.957	0.018
2455499.5	320.944	0.302	0.949	0.007
2455850.5	323.277	0.611	0.938	0.014
2455874.5	322.999	0.597	0.960	0.014


