#HR 8799 planet b DI data
# ObsDate[JD]	PositionAngle[deg]    PositionAngleError[deg]  SeparationAngle["]   SeparationAngleError["]
2451115.5	300.000	0.800	0.966	0.022
2453200.5	309.630	0.299	0.960	0.007
2453566.5	311.464	0.301	0.951	0.007
2454314.5	315.085	0.301	0.952	0.007
2454658.5	315.296	0.299	0.958	0.007
2454690.5	316.812	0.238	0.961	0.006
2454727.5	317.059	0.119	0.964	0.003
2455112.5	318.791	0.421	0.952	0.010
2455137.0	318.814	0.779	0.957	0.018
2455398.5	320.109	0.364	0.945	0.008
2455499.5	320.944	0.302	0.949	0.007
2455499.5	323.870	0.364	0.945	0.008
2456586.5	325.541	0.453	0.951	0.012



