#TauBoo ARTIFICIAL DI data
# ObsDate[JD]	PositionAngle[deg]    PositionAngleError[deg]  SeparationAngle["]   SeparationAngleError["]
2408671.18799    351.820436166    0.488653434239    8.55248998518    0.00615500489429
2088195.77772    168.395493942    0.517765158519    1.70609420243    0.0188099642362
2374332.20437    342.222236067    0.452811992939    10.8027136297    0.019953578588
2398753.22374    348.729132805    0.490973678395    9.29876715652    0.00658255635906
2095840.10263    215.819971583    0.549625598373    2.49971931822    0.0180060399007
2380060.89094    344.057298315    0.51856939691    10.5120013615    0.0253670008219
2416721.3728    355.200111353    0.549631327033    7.72771303521    0.00451850250061
2226880.80651    315.127743661    0.468232928752    11.3825875221    0.0129057164904
2304592.59473    329.276512581    0.504580740777    12.5743166903    0.0155545680044
2152856.63513    293.493273832    0.492450693386    7.42391967871    0.0154859069813
2407583.38384    351.337542426    0.51453964012    8.65394488424    0.0171698322727
2452502.93603    36.6508930569    0.580090947364    2.55595365035    0.0148762456907
2373416.80828    342.256360261    0.481323312214    10.8134212971    0.0152261246765
2274594.51458    324.422761411    0.550512622271    12.3964538098    0.0115411062206
2379919.66096    343.793342973    0.53617634626    10.4499890858    0.0136604514912
2381300.51686    344.130942509    0.557635329165    10.41942778    0.0102104530834
2431547.04233    3.55682550798    0.536176052935    6.01604177552    0.0133223902487
2237097.01248    317.531741429    0.47859664415    11.5899919429    0.0207633130961
2416602.38873    355.418040309    0.441017812079    7.7618936594    0.0218862620479
2149327.04226    291.883373255    0.571088064737    7.23581397735    0.0154156066157
2357793.33772    338.613854709    0.517190048064    11.4824156782    0.0122180063842
2222971.05148    314.779982197    0.461483682941    11.199599853    0.0127288202196
2172913.88084    301.682876633    0.464528702915    8.78994570769    0.0063431163266
2460994.608    115.741520151    0.532075222905    1.31121369585    0.0125672185096
2182193.39869    304.468961427    0.536043651291    9.31436740707    0.00972058653172
2389222.38576    346.068859376    0.563319261803    10.0209028109    0.0182730812095
2190142.26442    307.069032001    0.499628885891    9.72849411591    0.0156014274053
2387291.37077    345.711640318    0.55349165554    10.0957521765    0.0146844834782
2390030.45042    346.195720916    0.611739684198    9.82209530771    0.0187555083194
2460589.41281    109.620703711    0.468142974934    1.26260176274    0.0202408520119
2407610.54546    351.694866252    0.375526978457    8.58280364908    0.0167757082676
2180135.41391    303.843351228    0.559305827694    9.19163940332    0.0162294982614
2212550.90639    312.514716921    0.568183592316    10.8322135983    0.00992084714319
2100329.75586    232.151857251    0.499038159144    2.92317687072    0.00903223335821
2432687.71283    4.53330196083    0.453235644184    5.88266364396    0.0124720037216
2158215.51326    295.948163782    0.572261771063    7.81282306418    0.0144203430933
2291430.79184    326.74267109    0.438051281001    12.5396178169    0.0151184886521
2321148.61842    332.1836491    0.539421002539    12.401384903    0.0164841969885
2253754.86598    321.011824215    0.445633183452    12.0560910263    0.0182927010901
2267801.27547    323.286486417    0.504769560639    12.327245951    0.0150595780311
2104483.94095    243.758541192    0.561797593954    3.29474769582    0.0107315296761
2324859.59463    333.017597879    0.543268464551    12.3355113959    0.0147935948793
2281985.71632    325.698599197    0.451744796193    12.480469943    0.0183558449105
2306731.33663    329.793669848    0.553116783952    12.5344161431    0.0154897338849
2265108.70628    322.92514572    0.520363363421    12.2551674449    0.00758480408734
2150603.91595    292.582582444    0.54454145963    7.23537055185    0.0127419739533
2233745.57797    316.819635006    0.462813072653    11.5186007798    0.0127505802893
2266225.13206    322.687320317    0.516151742859    12.3339570454    0.0233950660599
2336298.94729    335.108269104    0.464054420445    12.1257209981    0.0115498735843
2259908.01178    321.953048808    0.474324507913    12.1845224377    0.00813911022733
2101704.81629    236.222994166    0.413773959043    3.0888610823    0.0137800599728
2425334.49851    359.383182841    0.381032430621    6.91229825794    0.0132311276631
2257852.94361    321.597097904    0.465084437521    12.1717851995    0.0119921730082
2221598.03632    314.57163657    0.503365113708    11.1872187946    0.00813063950566
2233277.74099    316.837296451    0.515635149157    11.5377677042    0.0159502107907
2372146.89915    341.486107899    0.548473813427    10.924383922    0.0113161547622
2182324.76893    304.608276613    0.535735484934    9.28164520125    0.0145225938562
2355101.67574    338.20253888    0.49179375171    11.6184635699    0.0147672103795
2435256.06829    6.36907599007    0.500150617785    5.60514308522    0.0154440922389
2262953.15435    322.67451849    0.502649167988    12.2141658682    0.00746534482606
2243874.09749    318.817976796    0.564492171668    11.8553335984    0.00899847655613
2362032.03057    339.927984037    0.467368218257    11.3323923692    0.0184258113955
2377761.88682    343.257108076    0.47040587728    10.561082556    0.0241392312448
2270400.26447    323.474405156    0.429095855929    12.4125992727    0.0160725323738
2312684.6948    330.758017807    0.499056820485    12.4837824426    0.0175747700761
2168875.0755    300.465357205    0.467910433913    8.53252179617    0.0138666267301
2182472.51631    304.844649602    0.4282917495    9.32801625288    0.00580069300209
2348335.2684    336.829023216    0.496530097866    11.7938431733    0.0157392862615
2091848.97282    195.641426779    0.51066997137    2.07876057475    0.0222211552102
2312739.30168    330.746400727    0.448846289994    12.4687216954    0.00969712675933
2300673.73605    328.825894696    0.44386263912    12.5542257444    0.0170587707405
2147664.81286    290.995313515    0.445449309036    7.01590144926    0.0143489492662
2262935.43366    322.685417168    0.425357629411    12.2452720355    0.010797769133
2350943.46087    337.553944725    0.455301662903    11.687603857    0.0150006586808
2400185.79612    349.090546839    0.532843112938    9.21568245408    0.0198873022349
2097409.28232    221.92889759    0.438455547057    2.62287602139    0.00952200450404
2371718.57392    341.964959119    0.469802717331    10.9076841307    0.0197134494814
2300006.03908    328.467747567    0.457068159127    12.5179938974    0.0159859107355
2314343.22657    331.080775478    0.498549979271    12.4504264887    0.0127437916222
2249812.09466    320.026803971    0.483542983352    11.9918995252    0.00464209479368
2263831.20374    322.601794367    0.462279630398    12.2337060358    0.0121077570739
2412559.10324    353.250547009    0.471554732102    8.2005164008    0.0141828333724
2458292.21244    77.3953002185    0.454207424452    1.48745713336    0.0216692277688
2228716.9284    315.974798433    0.484147898577    11.3290814394    0.010503989617
2203186.70447    309.966794384    0.473102908991    10.3665786871    0.0157781801582
2295537.68173    327.862266999    0.488566649816    12.5761053012    0.0111753132597
2135731.58774    283.848105194    0.476364949348    6.15376586327    0.0149223386069
2392277.04279    346.680643892    0.495461191664    9.77099330433    0.0182713098822
2186078.76965    305.906855335    0.544732790009    9.55687457199    0.0203623138964
2255007.64608    320.99913391    0.447113663158    12.1327659821    0.0124924475048
2321916.63534    332.087880206    0.528555924069    12.3357434745    0.0116073990287
2197933.28737    308.826696289    0.526418272674    10.0987058275    0.0163203818158
2286764.07401    326.539641636    0.476642863779    12.5060946036    0.0130786796017
2249170.46939    319.80343483    0.46059180691    11.9387187126    0.0219134716976
2294198.35448    327.704181203    0.537086595377    12.5550588003    0.0078661174285
2211292.51958    312.385091858    0.494441237177    10.7913266497    0.00729877485172
2225954.97252    315.708530133    0.465207797633    11.265895294    0.0186281865649
2377648.47653    343.021480787    0.604623174723    10.5797345264    0.0181013266556
2344832.95903    336.340721683    0.518581014737    11.8828329151    0.0144250479675
2248602.34042    319.660945915    0.503949557747    11.9149432543    0.0160143874223
