#Fake data using artificialDataMaker.py
# ObsDate[JD]	PositionAngle[deg]    PositionAngleError[deg]  SeparationAngle["]   SeparationAngleError["]#
2457000 171.2233297 14.55398303 0.5915213085 0.06277268497
2457602.222 250.6398777 14.55398303 0.9754546504 0.06277268497
2458204.444 290.7902835 14.55398303 1.255453699 0.06277268497
2458806.667 319.621779 14.55398303 1.44278899 0.06277268497
2459408.889 341.3277687 14.55398303 1.578291638 0.06277268497
2460011.111 2.764354986 14.55398303 1.650510984 0.06277268497
2460613.333 18.50281005 14.55398303 1.591967363 0.06277268497
2461215.555 44.71729092 14.55398303 1.49429007 0.06277268497
2461817.778 85.00485599 14.55398303 1.050227564 0.06277268497
2462420 155.8884698 14.55398303 0.7196591068 0.06277268497
2463022.222 248.1557807 14.55398303 0.939899181 0.06277268497







