#Fake data using artificialDataMaker.py
# ObsDate[JD]   RA["]    RAerror["]  Dec["]   DecError["]
2451137.546 0.423199655 0.03434989059 0.6319661079 0.03434989059
2450902.397 0.1090899707 0.03434989059 -1.022137362 0.03434989059
2450973.523 -0.6237010224 0.03434989059 -0.4277505706 0.03434989059
2450835.729 0.6888555338 0.03434989059 -0.3590541842 0.03434989059
2450909.192 -0.02808789071 0.03434989059 -1.02757338 0.03434989059
2450839.857 0.6510551625 0.03434989059 -0.4214866791 0.03434989059
2450881.283 0.3225243614 0.03434989059 -0.9136944471 0.03434989059
2451134.002 0.4360296984 0.03434989059 0.690393572 0.03434989059
2451096.814 0.05069042359 0.03434989059 0.9958111166 0.03434989059
2450894.142 0.1777750857 0.03434989059 -0.9405648753 0.03434989059
