#Fake data using artificialDataMaker.py
# ObsDate[JD]   RA["]    RAerror["]  Dec["]   DecError["]
2453291.938 0.09857368513 0.001504205488 -0.1888868183 0.001504205488
2452767.637 0.2334570196 0.001504205488 -0.1105697532 0.001504205488
2452762.377 0.2345964277 0.001504205488 -0.1091190377 0.001504205488
2453965.725 -0.1316424564 0.001504205488 -0.1602243991 0.001504205488
2453927.148 -0.1183428508 0.001504205488 -0.1656255562 0.001504205488
2452235.884 0.2446939497 0.001504205488 0.0279965162 0.001504205488
2452878.108 0.2115628241 0.001504205488 -0.1326977157 0.001504205488
2451822.932 0.1493650545 0.001504205488 0.1285433496 0.001504205488
2452317.423 0.2507211582 0.001504205488 0.007169277741 0.001504205488
2454225.245 -0.204213977 0.001504205488 -0.1095196841 0.001504205488
