#Fake data using artificialDataMaker.py
# ObsDate[JD]   RA["]    RAerror["]  Dec["]   DecError["]
2452416.222 -0.2674908204 0.02196841049 0.03671674442 0.02196841049
2454635.494 0.2336287393 0.02196841049 0.00457123071 0.02196841049
2450724.271 0.2082471501 0.02196841049 -0.1370951689 0.02196841049
2453018.751 -0.1899328615 0.02196841049 0.1235235756 0.02196841049
2452346.231 -0.2718825047 0.02196841049 0.002632169682 0.02196841049
2450866.427 0.1890162967 0.02196841049 -0.1382466546 0.02196841049
2450688.189 0.2336975826 0.02196841049 -0.08489509509 0.02196841049
2451243.768 0.02729114159 0.02196841049 -0.1435351237 0.02196841049
2450794.262 0.2273406118 0.02196841049 -0.1765940419 0.02196841049
2454713.31 0.227847371 0.02196841049 -0.00193150525 0.02196841049
